2025-04-20 22:11:45 - Gesture: two_up, Confidence: 0.98
2025-04-20 22:11:45 - Gesture: two_up, Confidence: 0.98
2025-04-20 22:11:45 - Gesture: two_up, Confidence: 0.98
2025-04-20 22:11:45 - Gesture: two_up, Confidence: 0.98
2025-04-20 22:11:46 - Gesture: two_up, Confidence: 0.98
2025-04-20 22:11:46 - Gesture: two_up, Confidence: 0.98
2025-04-20 22:11:46 - Gesture: two_up, Confidence: 0.98
2025-04-20 22:11:46 - Gesture: two_up, Confidence: 0.98
2025-04-20 22:11:46 - Gesture: two_up, Confidence: 0.98
2025-04-20 22:11:46 - Gesture: two_up, Confidence: 0.98
2025-04-20 22:11:46 - Gesture: two_up, Confidence: 0.98
2025-04-20 22:11:46 - Gesture: two_up, Confidence: 0.98
2025-04-20 22:11:47 - Gesture: two_up, Confidence: 0.98
2025-04-20 22:11:47 - Gesture: two_up, Confidence: 0.98
2025-04-20 22:11:47 - Gesture: two_up, Confidence: 0.98
2025-04-20 22:11:47 - Gesture: two_up, Confidence: 0.98
2025-04-20 22:11:47 - Gesture: two_up, Confidence: 0.99
2025-04-20 22:11:47 - Gesture: two_up, Confidence: 0.99
2025-04-20 22:11:47 - Gesture: two_up, Confidence: 0.99
2025-04-20 22:11:47 - Gesture: two_up, Confidence: 0.99
2025-04-20 22:11:48 - Gesture: two_up, Confidence: 0.99
2025-04-20 22:11:48 - Gesture: two_up, Confidence: 0.99
2025-04-20 22:11:48 - Gesture: two_up, Confidence: 0.99
2025-04-20 22:11:48 - Gesture: two_up, Confidence: 0.99
2025-04-20 22:11:48 - Gesture: two_up, Confidence: 0.99
2025-04-20 22:11:48 - Gesture: two_up, Confidence: 0.99
2025-04-20 22:11:48 - Gesture: two_up, Confidence: 0.99
2025-04-20 22:11:48 - Gesture: two_up, Confidence: 0.99
2025-04-20 22:11:49 - Gesture: two_up, Confidence: 0.99
2025-04-20 22:11:49 - Gesture: two_up, Confidence: 0.99
2025-04-20 22:11:49 - Gesture: two_up, Confidence: 0.99
2025-04-20 22:11:49 - Gesture: two_up, Confidence: 0.99
2025-04-20 22:11:49 - Gesture: two_up, Confidence: 0.99
2025-04-20 22:11:49 - Gesture: two_up, Confidence: 0.95
2025-04-20 22:11:49 - Gesture: two_up, Confidence: 0.95
2025-04-20 22:11:49 - Gesture: two_up, Confidence: 0.94
2025-04-20 22:11:49 - Gesture: two_up, Confidence: 0.93
2025-04-20 22:11:49 - Gesture: two_up, Confidence: 0.93
2025-04-20 22:11:49 - Gesture: two_up, Confidence: 0.91
2025-04-20 22:11:50 - Gesture: one, Confidence: 0.98
2025-04-20 22:11:50 - Gesture: one, Confidence: 0.98
2025-04-20 22:11:50 - Gesture: one, Confidence: 0.98
2025-04-20 22:11:50 - Gesture: one, Confidence: 0.98
2025-04-20 22:11:51 - Gesture: one, Confidence: 0.98
2025-04-20 22:11:51 - Gesture: one, Confidence: 0.98
2025-04-20 22:11:51 - Gesture: one, Confidence: 0.98
2025-04-20 22:11:51 - Gesture: one, Confidence: 0.98
2025-04-20 22:11:51 - Gesture: one, Confidence: 0.98
2025-04-20 22:11:51 - Gesture: one, Confidence: 0.98
2025-04-20 22:11:51 - Gesture: one, Confidence: 0.98
2025-04-20 22:11:51 - Gesture: one, Confidence: 0.98
2025-04-20 22:11:51 - Gesture: one, Confidence: 0.98
2025-04-20 22:11:51 - Gesture: one, Confidence: 0.98
2025-04-20 22:11:51 - Gesture: one, Confidence: 0.94
2025-04-20 22:11:51 - Gesture: one, Confidence: 0.93
2025-04-20 22:11:51 - Gesture: one, Confidence: 0.93
2025-04-20 22:11:52 - Gesture: one, Confidence: 0.92
2025-04-20 22:11:52 - Gesture: one, Confidence: 0.91
2025-04-20 22:11:52 - Gesture: one, Confidence: 0.89
2025-04-20 22:11:52 - Gesture: two_up, Confidence: 0.96
2025-04-20 22:11:52 - Gesture: two_up, Confidence: 0.96
